Concept,Capital,Large city,Small city,Village,
None,0,0,0,0,
prim_incomp,0.06706719,-0.25688342,0.01782565,0.28639772,
prim_complete,0.22245143,0.11315143,0.26421015,0.38864911, 
sec_incomp,0.30051095,0.25370903,0.40905713,0.47678512, 
sec_comp,0.44120825,0.35074483,0.69580587,0.61464818, 
hs_incomp,0.52644278,0.57236815,0.70452635,0.69062829, 
hs_comp,0.66588864,0.8278787,0.91166751,0.77686995, 
uni,1.0982583,1.2385437,1.3019712,1.3756478, 
exper,0.04920334,0.05683086,0.06731943,0.03598942, 
exper2,-0.0007623,-0.00078973,-0.00109174,-0.00055799,
IQ,0.00379698,-0.00022478,0.00208408,0.00636289, 
constant,9.1150171,9.2947707,8.7612781,8.5349736, 
sd,0.684411393,0.699199218,0.791494996,0.785366467, 
